Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
0,40.758041,-73.985446,40.757977,-73.985530,40.758041,-73.985466,40.758030,-73.985474,1.000,10.1,0,10.0,2.6,sift
1,40.758104,-73.985362,40.758224,-73.985204,40.758091,-73.985413,40.758129,-73.985352,1.000,27.6,0,18.9,2.9,sift
2,40.758168,-73.985278,40.758224,-73.985204,40.758205,-73.985268,40.758213,-73.985245,1.000,7.4,0,8.9,5.8,sift
3,40.758232,-73.985194,40.758224,-73.985204,40.758289,-73.985153,40.758259,-73.985176,1.000,9.2,0,1.1,3.4,sift
4,40.758295,-73.985111,40.758224,-73.985204,40.758327,-73.985092,40.758278,-73.985146,1.000,16.9,0,11.1,3.5,sift
5,40.758359,-73.985027,40.758471,-73.984878,40.758331,-73.985077,40.758400,-73.984985,1.000,27.1,0,17.8,5.8,sift
6,40.758422,-73.984943,40.758471,-73.984878,40.758472,-73.984886,40.758472,-73.984886,1.000,1.0,0,7.8,7.4,sift
7,40.758486,-73.984859,40.758471,-73.984878,40.758545,-73.984787,40.758511,-73.984833,1.000,13.0,0,2.2,3.6,sift
8,40.758549,-73.984775,40.758471,-73.984878,40.758575,-73.984749,40.758526,-73.984810,1.000,18.4,0,12.2,3.9,sift
9,40.758613,-73.984691,40.758718,-73.984551,40.758575,-73.984741,40.758644,-73.984650,1.000,26.5,0,16.7,5.0,sift
10,40.758676,-73.984607,40.758718,-73.984551,40.758713,-73.984558,40.758717,-73.984558,1.000,1.0,0,6.7,6.1,sift
11,40.758740,-73.984524,40.758718,-73.984551,40.758785,-73.984467,40.758755,-73.984505,1.000,12.0,0,3.3,2.3,sift
12,40.758803,-73.984440,40.758718,-73.984551,40.758816,-73.984421,40.758770,-73.984482,1.000,18.1,0,13.3,5.1,sift
13,40.758867,-73.984356,40.758966,-73.984225,40.758820,-73.984421,40.758888,-73.984329,1.000,27.2,0,15.6,3.3,sift
14,40.758930,-73.984272,40.758966,-73.984225,40.758957,-73.984238,40.758961,-73.984230,1.000,1.7,0,5.6,4.9,sift
15,40.758994,-73.984188,40.758966,-73.984225,40.759029,-73.984138,40.758999,-73.984177,1.000,12.0,0,4.4,1.1,sift
16,40.759057,-73.984104,40.758966,-73.984225,40.759060,-73.984093,40.759014,-73.984154,1.000,18.1,0,14.4,6.4,sift
17,40.759121,-73.984020,40.759213,-73.983899,40.759060,-73.984093,40.759132,-73.984001,1.000,27.4,0,14.4,2.1,sift
18,40.759184,-73.983936,40.759213,-73.983899,40.759201,-73.983910,40.759205,-73.983910,1.000,1.7,0,4.4,3.2,sift
19,40.759248,-73.983853,40.759213,-73.983899,40.759274,-73.983818,40.759243,-73.983856,1.000,11.3,0,5.6,0.6,sift
20,40.759311,-73.983769,40.759213,-73.983899,40.759304,-73.983772,40.759262,-73.983833,1.000,17.4,0,15.6,7.7,sift
21,40.759375,-73.983685,40.759460,-73.983573,40.759312,-73.983772,40.759384,-73.983681,1.000,27.6,0,13.3,1.1,sift
22,40.759438,-73.983601,40.759460,-73.983573,40.759453,-73.983589,40.759457,-73.983582,1.000,1.9,0,3.3,2.6,sift
23,40.759502,-73.983517,40.759460,-73.983573,40.759525,-73.983490,40.759495,-73.983528,1.000,11.8,0,6.7,1.2,sift
24,40.759565,-73.983433,40.759460,-73.983573,40.759556,-73.983444,40.759510,-73.983505,1.000,17.9,0,16.7,8.6,sift
25,40.759629,-73.983349,40.759707,-73.983247,40.759560,-73.983444,40.759632,-73.983353,1.000,27.4,0,12.2,0.4,sift
26,40.759692,-73.983266,40.759707,-73.983247,40.759701,-73.983261,40.759705,-73.983253,1.000,1.7,0,2.2,1.7,sift
27,40.759756,-73.983182,40.759707,-73.983247,40.759773,-73.983162,40.759743,-73.983200,1.000,12.0,0,7.8,2.1,sift
28,40.759820,-73.983098,40.759707,-73.983247,40.759804,-73.983116,40.759758,-73.983177,1.000,18.1,0,17.8,9.6,sift
29,40.759883,-73.983014,40.759954,-73.982921,40.759808,-73.983116,40.759876,-73.983025,1.000,27.1,0,11.1,1.2,sift
30,40.759947,-73.982930,40.759954,-73.982921,40.759945,-73.982933,40.759949,-73.982925,1.000,1.7,0,1.1,0.5,sift
31,40.760010,-73.982846,40.759954,-73.982921,40.760017,-73.982834,40.759987,-73.982872,1.000,12.0,0,8.9,3.4,sift
32,40.760074,-73.982762,40.760201,-73.982595,40.760048,-73.982788,40.760120,-73.982697,1.000,27.4,0,20.0,7.6,sift
33,40.760137,-73.982679,40.760201,-73.982595,40.760201,-73.982590,40.760201,-73.982590,1.000,0.6,0,10.0,10.3,sift
